GEO_ID,Management occupations_telework_weighted,Business and financial operations occupations_telework_weighted,Computer and mathematical occupations_telework_weighted,Architecture and engineering occupations_telework_weighted,"Life, physical, and social science occupations_telework_weighted",Community and social service occupations_telework_weighted,Legal occupations_telework_weighted,"Arts, design, entertainment, sports, and media occupations_telework_weighted",Healthcare practitioners and technical occupations_telework_weighted,Healthcare support occupations_telework_weighted,Protective service occupations_telework_weighted,Food preparation and serving related occupations_telework_weighted,Building and grounds cleaning and maintenance occupations_telework_weighted,Personal care and service occupations_telework_weighted,Sales and related occupations_telework_weighted,Office and administrative support occupations_telework_weighted,"Farming, fishing, and forestry occupations_telework_weighted",Construction and extraction occupations_telework_weighted,"Installation, maintenance, and repair occupations_telework_weighted",Production occupations_telework_weighted,teleworker_estimate,total_workers,telework_score
17129,368.0178571428571,261.6,108.0,41.628571428571426,82.01666666666667,64.0,33.25,32.02325581395349,43.906976744186046,29.22222222222222,23.03448275862069,14.0,0.0,27.25,272.4583333333333,582.063492063492,3.941176470588235,6.8196721311475414,5.611111111111111,7.4774774774774775,2006.3212953642276,6077.0,0.3301499580984413
17131,550.375,190.4,57.0,23.47142857142857,17.883333333333333,65.0,52.5,47.093023255813954,30.790697674418603,21.88888888888889,17.79310344827586,22.0,0.0,54.0,272.4583333333333,570.6031746031746,4.235294117647059,10.639344262295083,4.907407407407407,36.26126126126126,2049.3002901572777,7392.0,0.2772321821100213
17133,1544.0892857142858,906.4000000000001,655.0,180.68571428571428,75.23333333333333,104.5,213.5,131.2325581395349,121.86046511627907,39.77777777777778,34.89655172413793,53.411764705882355,0.0,128.75,817.9166666666666,1433.142857142857,7.294117647058823,16.655737704918035,11.851851851851851,38.69369369369369,6514.892375503991,17910.0,0.3637572515635953
17135,698.375,240.0,169.0,66.87142857142857,7.4,148.0,108.5,41.44186046511628,80.27906976744185,61.0,50.89655172413793,33.705882352941174,0.0,67.75,637.0,783.5238095238095,6.764705882352941,13.540983606557377,5.148148148148148,29.0990990990991,3248.2965391410335,11245.0,0.2888658549703009
17137,916.4107142857142,536.0,227.0,45.17142857142857,23.433333333333334,186.0,35.0,104.23255813953489,88.09302325581395,85.22222222222221,40.55172413793103,46.588235294117645,0.0,126.0,830.9166666666666,1212.984126984127,11.352941176470589,10.39344262295082,9.11111111111111,47.07207207207207,4581.533599873494,15653.0,0.29269364338296133
17139,411.625,307.20000000000005,118.0,65.54285714285714,20.35,53.5,25.375,30.767441860465116,28.74418604651163,22.777777777777775,14.758620689655173,12.176470588235293,0.0,35.5,245.37499999999997,451.77777777777777,7.588235294117647,7.2950819672131155,3.0,51.35135135135135,1912.7048004959618,6925.0,0.2762028592773952
17141,1481.3214285714284,817.6,409.0,158.54285714285714,65.36666666666667,204.0,89.25,136.88372093023256,126.23255813953489,89.1111111111111,56.275862068965516,78.47058823529412,0.0,140.5,1040.0,1751.6190476190475,19.352941176470587,21.868852459016395,16.51851851851852,132.74774774774775,6834.661900386891,24879.0,0.27471610194890833
17143,4652.75,2973.6000000000004,2024.0,1434.857142857143,442.15000000000003,832.0,470.75,1014.6976744186046,552.2790697674418,357.77777777777777,240.41379310344828,316.2352941176471,0.0,583.25,4779.125,6149.9682539682535,14.882352941176471,54.9344262295082,48.7037037037037,205.85585585585585,27148.23034474056,83236.0,0.32615971868831467
17145,359.42857142857144,154.4,17.0,15.942857142857143,12.333333333333334,88.5,12.25,23.86046511627907,50.97674418604651,29.0,62.48275862068965,31.235294117647058,0.0,69.25,313.0833333333333,484.9523809523809,8.0,10.344262295081968,8.24074074074074,37.47747747747748,1788.7582187444386,7988.0,0.22393067335308445
17147,674.5892857142857,322.40000000000003,94.0,49.599999999999994,101.13333333333334,41.0,11.375,61.53488372093023,57.30232558139535,19.333333333333332,28.275862068965516,21.058823529411764,0.0,47.75,388.375,674.3492063492063,4.0,9.491803278688526,6.648148148148148,29.81981981981982,2642.036824877518,8575.0,0.30810925071457934
