fips,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april
35043,-52.11358176909502,-0.6337840050323426,-461.5539858728558,14.042883340386506,29.991385456302872
35045,-46.49077337165403,-9.8067324180565,-138.67596960167714,10.518842581932624,17.387585400835636
35047,-13.422277827400963,-46.64643445373022,-95.46952224052714,3.4439834024896516,-1.0498097366058579
35049,-23.835565904903444,-5.1840955692252875,-455.5794761392177,16.089030206677293,24.68834411233622
35051,-28.831568091318594,-40.66785927251046,-51.61375661375662,4.308579936720625,0.669986940632001
35053,-41.62854441441357,-35.56518242304599,-67.28555917480999,6.215015168995425,-4.492769839383989
35055,-81.9668692816665,-18.36216839677047,-124.2141937438461,10.144037973647599,12.546756235556423
35057,-49.52793357023298,-50.25699781989468,-71.91099962839093,2.3404964184574277,4.4847399992624455
35059,4.5007575107909625,-76.56422850568606,-65.13740102468556,-7.257563658947761,-37.89752138638128
35061,-78.02163676806191,-10.310884826043367,-311.63522012578625,14.32114741723283,22.560998038916715
36001,-34.27511933926063,-0.9907484120409115,-691.9662671992899,19.27980944374385,25.713150191053884
36003,-27.91471278480955,-5.934792381886527,-216.99048775551506,11.274619935595014,-0.031078487247375015
36005,-38.61169245212898,17.15583177761498,-4098.118279569892,15.63331287088194,33.47158236688754
36007,-17.88412473742574,-0.7919508483174336,-460.5195224265892,16.485197836606886,20.2558009878702
36009,-30.303678626369233,1.3762466791516155,-282.4957410562179,16.094923950888752,16.300860965583656
36011,-50.35432585654426,-7.1044663903113205,-329.2020928711576,14.165559982293022,17.363682741232402
36013,-23.778461487565007,-0.5919616818278169,-383.29889807162533,17.337831954723566,17.011639706882224
36015,-21.491263831276253,2.0984587950579487,-398.93617021276606,15.834755403868014,21.60095340996116
36017,-12.633409208310976,-13.5477716466166,-199.78599554870752,13.170109074031105,13.56937191561116
36019,-34.830563384844645,-15.009299366174805,-169.68657057881495,8.626990341947275,0.8393606768890737
36021,-55.777926199729954,2.410540346560033,-344.08303583234164,17.570140460538102,19.06603733847369
36023,2.2058170937353156,-8.963585434173673,-281.97774643472815,15.84523261169967,16.116031702310845
36025,-63.47371974345225,-42.92702169625247,-135.9785202863962,7.530864197530845,2.74779313001132
36027,-31.10545292903052,1.0088404962380044,-782.0858895705521,19.379682139606523,32.610300310066435
36029,-23.618739015817237,9.626949531371542,-998.3926342072411,19.124948282995426,29.911780388556185
36031,-34.43540628006645,-22.443588406029694,-147.34078977402427,6.0315145623202495,-4.520976328036909
36033,-51.830439847972656,-3.786020846106676,-275.2407528999781,15.597709896003185,14.624399011627434
36035,-22.010083153277023,-12.00255664957161,-274.19811855377986,13.767003071522598,14.847279409009909
36037,-36.38054458701141,-4.706089307372531,-446.285140562249,15.355038091131254,23.272673200132417
36039,-48.2333271166864,-24.003981328940146,-206.72563110374048,9.415911379657599,9.051397421082005
36041,-29.84911881743544,-29.70093976572208,-292.75449101796414,14.092461255581835,21.195676302022587
36043,-29.851860194875517,3.7229276732474235,-371.8999437886454,17.21944323618965,23.142847407738255
36045,-56.08103765807157,-4.959728698601105,-202.11320401087062,11.546586613297732,15.737597952332077
36047,-35.26822544556846,18.774771929032894,-6356.470588235294,18.71291180683445,39.13179164526441
36049,-16.091103095376816,-9.919763692673206,-261.13940165499685,13.774817424492625,16.019648287661862
36051,-25.503538460448315,-8.791464918348305,-379.6831955922864,15.65212673611112,24.02349310075492
36053,-34.09650917785894,-5.305029183657164,-449.12917271407844,17.80245300820087,26.37329777892891
36055,-26.22682751831271,3.4992203043501626,-978.8778877887788,19.671732944687356,33.16763707517423
36057,-33.04154366148976,-9.571470821723757,-261.0432569974554,12.58849877185377,12.511762756988832
36059,-41.24205465266886,23.881076161623717,-7603.3573141486795,23.336745138178095,56.1105099924258
36061,66.0017092479309,-44.48838439318117,-791.0748106060605,21.272714516242193,29.416851409916234
