,telework_score,percent_freq_or_always_mask_use,percent_republican_2016_pres,population_total,percent_uninsured,percent_below_poverty_line,percent_households_more_people_than_rooms,percent_racial_minority,percent_without_high_school_diploma,percent_over_65,population_density,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april,start_date,end_date,num_days,starting_cases_100k,ending_cases_100k,net_cases,avg_new_cases
41019,0.29392909983949594,0.75,0.6461388987500234,108323,6.5,16.2,2.8,11.9,10.9,24.6,21.511245333892887,-26.24279920239448,-3.3556294180126662,-126.0706018518519,7.0663255848441215,3.6224614168544162,2020-11-22,2020-12-19,27,736.84,1170.34,433.4999999999999,16.05555555555555
41021,0.2916103542473415,0.939,0.6584887144259077,1907,9.3,10.7,1.3,12.1,9.7,25.4,1.5829393253197503,-188.4317362184441,-66.39944231439523,62.62135922330096,-21.03338495955945,-38.1289971568363,2020-11-22,2020-12-19,27,1118.21,1757.19,638.98,23.665925925925926
41023,0.33598707883926004,0.7909999999999999,0.7396313364055299,7183,6.2,14.6,2.5,8.4,11.2,28.3,1.5864253252491718,-69.36723507855056,-44.13517334020606,5.347411444141684,-13.69235176167285,-27.18932594697832,2020-11-22,2020-12-19,27,1697.04,2281.26,584.2200000000003,21.63777777777779
41025,0.35525636540215355,0.755,0.7327629592350277,7228,6.8,16.6,3.2,13.4,10.2,23.5,0.7132120451323424,9.611950816049896,-33.10145884424324,-57.508181393174404,2.440476190476204,-9.565594313800704,2020-11-22,2020-12-19,27,1183.43,1692.58,509.14999999999986,18.857407407407404
41027,0.2810295773955376,0.772,0.2999083409715857,23131,8.6,10.0,4.3,36.2,18.9,15.0,44.304753418456734,-52.16104625533919,8.20787230183203,-329.0092592592593,18.883017760164382,20.974999924222047,2020-11-22,2020-12-19,27,1555.43,2990.22,1434.7899999999997,53.14037037037036
41029,0.3085227664324085,0.8029999999999999,0.4927419576133984,214267,7.8,16.3,3.2,18.8,10.4,21.0,76.98434806456041,-8.455629707741442,-0.5077689294700456,-194.32367149758457,11.315404317599704,18.44919947214484,2020-11-22,2020-12-19,27,1549.59,2430.58,880.99,32.62925925925926
41031,0.2590606577496143,0.907,0.5796595834654826,23143,10.2,19.9,4.4,39.8,14.0,18.5,12.985364110992766,-26.02495460765019,-14.355842539287385,-57.757855494407956,2.8028262481945734,0.9064487351906684,2020-11-22,2020-12-19,27,3240.56,5320.46,2079.9,77.03333333333333
41033,0.2791500031830683,0.8440000000000001,0.6041965888689408,85481,8.1,18.6,4.5,12.9,9.8,25.3,52.16553252387581,-15.557351410864625,-0.8937237997142873,-200.90193820763767,10.259339862169012,13.408001093473995,2020-11-22,2020-12-19,27,499.7,1107.23,607.53,22.50111111111111
41035,0.2870338830959321,0.8099999999999999,0.6698462647916872,66310,8.5,20.3,3.4,21.6,12.6,20.2,11.158147170940271,1.6890378585440422,-8.186666666666635,-131.08593012275736,6.625713032031569,5.112164425976431,2020-11-22,2020-12-19,27,1023.59,2377.43,1353.8399999999997,50.14222222222221
41037,0.3071958351717876,0.8049999999999999,0.7689567430025446,7843,8.2,16.6,2.9,15.3,13.1,24.3,0.9636797088400276,21.118190241210943,-13.206657354012194,-24.319248826291094,-0.21188134644597545,-17.61059768138481,2020-11-22,2020-12-19,27,1250.48,2309.56,1059.08,39.22518518518518
